模型名称,特征名称,归一化特征重要性
线性回归,original_price,1.0367142884752259e-16
线性回归,price,1.5064126366094405e-16
线性回归,discount_rate,7.359900802423934e-17
线性回归,comment_count,2.4083096152225962e-17
线性回归,good_rate,1.2647694009524094e-17
线性回归,user_age,3.9065633708965825e-17
线性回归,is_return,6.058110326988418e-17
线性回归,brand_京东京造,0.016298307162731153
线性回归,brand_其他品牌,0.01629830716273156
线性回归,brand_回力经典,0.016298307162731816
线性回归,brand_安踏运动,0.01629830716273134
线性回归,brand_斯凯奇潮,0.016298307162731597
线性回归,brand_李宁休闲,0.016298307162731094
线性回归,brand_特步男鞋,0.016298307162731427
线性回归,brand_耐克潮流,0.016298307162731063
线性回归,brand_阿迪达斯,0.01629830716273083
线性回归,brand_鸿星尔克,0.016298307162731
线性回归,is_plus_0,0.02377606115712922
线性回归,is_plus_1,0.023776061157129377
线性回归,sole_material_EVA轻底,0.014266032780865183
线性回归,sole_material_MD发泡底,0.014266032780865526
线性回归,sole_material_PU中底,0.014266032780865127
线性回归,sole_material_TPR鞋底,0.01426603278086484
线性回归,sole_material_橡胶大底,0.01426603278086549
线性回归,sole_material_混合鞋底,0.014266032780865795
线性回归,close_style_套脚款式,0.11813130388535582
线性回归,close_style_拉链鞋款,0.11813130388535589
线性回归,close_style_松紧带鞋,0.11813130388535563
线性回归,close_style_系带设计,0.11813130388535631
线性回归,close_style_魔术贴鞋,0.11813130388535623
线性回归,style_复古潮鞋,0.016173155706637
线性回归,style_工装硬朗,0.01617315570663689
线性回归,style_户外机能,0.016173155706637094
线性回归,style_日常休闲,0.016173155706636404
线性回归,style_潮流高街,0.01617315570663622
线性回归,style_简约百搭,0.01617315570663641
线性回归,style_运动休闲,0.016173155706636265
随机森林,original_price,0.11203642581297117
随机森林,price,0.0780381768534048
随机森林,discount_rate,0.09506458988794224
随机森林,comment_count,0.16696879892147437
随机森林,good_rate,0.08102672984396592
随机森林,user_age,0.1109621757736289
随机森林,is_return,0.017296707185704648
随机森林,brand_京东京造,0.013540917618225212
随机森林,brand_其他品牌,0.01120825013482232
随机森林,brand_回力经典,0.009270264691341974
随机森林,brand_安踏运动,0.01229881416701138
随机森林,brand_斯凯奇潮,0.009407829122222712
随机森林,brand_李宁休闲,0.012284643581915174
随机森林,brand_特步男鞋,0.01071787851586661
随机森林,brand_耐克潮流,0.011461694697646858
随机森林,brand_阿迪达斯,0.01024769811047732
随机森林,brand_鸿星尔克,0.011722197633760367
随机森林,is_plus_0,0.011335024880520435
随机森林,is_plus_1,0.01072126840914913
随机森林,sole_material_EVA轻底,0.01090298902000621
随机森林,sole_material_MD发泡底,0.011548157119250741
随机森林,sole_material_PU中底,0.011034124210745391
随机森林,sole_material_TPR鞋底,0.008902332933722763
随机森林,sole_material_橡胶大底,0.011582638920699675
随机森林,sole_material_混合鞋底,0.010189153963367302
随机森林,close_style_套脚款式,0.01340770170895212
随机森林,close_style_拉链鞋款,0.01296027148836936
随机森林,close_style_松紧带鞋,0.013277874926078966
随机森林,close_style_系带设计,0.01259101911138208
随机森林,close_style_魔术贴鞋,0.011533119272573101
随机森林,style_复古潮鞋,0.011281962357239758
随机森林,style_工装硬朗,0.01178782882303241
随机森林,style_户外机能,0.011389026693773018
随机森林,style_日常休闲,0.010611591819420533
随机森林,style_潮流高街,0.00959867131097431
随机森林,style_简约百搭,0.011824101073848825
随机森林,style_运动休闲,0.009967349404511928
XGBoost,original_price,0.021664675325155258
XGBoost,price,0.028577832505106926
XGBoost,discount_rate,0.028518643230199814
XGBoost,comment_count,0.030703414231538773
XGBoost,good_rate,0.024618064984679222
XGBoost,user_age,0.027561722323298454
XGBoost,is_return,0.0296159740537405
XGBoost,brand_京东京造,0.027068516239523888
XGBoost,brand_其他品牌,0.022749800235033035
XGBoost,brand_回力经典,0.017833499237895012
XGBoost,brand_安踏运动,0.029074769467115402
XGBoost,brand_斯凯奇潮,0.024113349616527557
XGBoost,brand_李宁休闲,0.022912371903657913
XGBoost,brand_特步男鞋,0.023674165830016136
XGBoost,brand_耐克潮流,0.022370319813489914
XGBoost,brand_阿迪达斯,0.02842261828482151
XGBoost,brand_鸿星尔克,0.027462664991617203
XGBoost,is_plus_0,0.027309633791446686
XGBoost,is_plus_1,0.0
XGBoost,sole_material_EVA轻底,0.02562536858022213
XGBoost,sole_material_MD发泡底,0.02746921218931675
XGBoost,sole_material_PU中底,0.032714858651161194
XGBoost,sole_material_TPR鞋底,0.030828114598989487
XGBoost,sole_material_橡胶大底,0.03235054761171341
XGBoost,sole_material_混合鞋底,0.03689243271946907
XGBoost,close_style_套脚款式,0.033727265894412994
XGBoost,close_style_拉链鞋款,0.03253690525889397
XGBoost,close_style_松紧带鞋,0.025857673957943916
XGBoost,close_style_系带设计,0.0313541404902935
XGBoost,close_style_魔术贴鞋,0.029518350958824158
XGBoost,style_复古潮鞋,0.026889584958553314
XGBoost,style_工装硬朗,0.027051549404859543
XGBoost,style_户外机能,0.03138081356883049
XGBoost,style_日常休闲,0.025459062308073044
XGBoost,style_潮流高街,0.030725575983524323
XGBoost,style_简约百搭,0.030514322221279144
XGBoost,style_运动休闲,0.024852154776453972
