comment_count,close_style,user_age,original_price,discount_rate,price,good_rate,sole_material,style,brand,is_plus,is_return,sales,cluster
638,拉链鞋款,59,254,95,241,97,TPR鞋底,复古潮鞋,李宁休闲,1,0,1000,1
253,套脚款式,57,379,52,197,100,EVA轻底,潮流高街,耐克潮流,1,0,25,1
706,系带设计,50,136,73,99,99,MD发泡底,潮流高街,耐克潮流,1,1,1341,2
648,松紧带鞋,49,152,84,128,95,EVA轻底,简约百搭,耐克潮流,0,1,968,2
4960,套脚款式,49,127,84,107,94,PU中底,复古潮鞋,阿迪达斯,1,1,3362,2
1645,魔术贴鞋,40,157,84,132,87,TPR鞋底,运动休闲,耐克潮流,0,0,3631,1
12282,系带设计,58,395,56,221,94,混合鞋底,户外机能,回力经典,1,0,1451,0
2764,套脚款式,52,128,81,104,93,MD发泡底,运动休闲,李宁休闲,0,0,458,1
787,系带设计,53,119,89,106,94,TPR鞋底,简约百搭,阿迪达斯,1,0,48,1
642,魔术贴鞋,54,174,57,99,92,橡胶大底,工装硬朗,其他品牌,1,0,972,1
2871,套脚款式,42,256,95,243,93,混合鞋底,复古潮鞋,其他品牌,0,0,1195,1
1821,松紧带鞋,49,198,50,99,97,EVA轻底,日常休闲,李宁休闲,1,0,575,1
1737,拉链鞋款,61,201,87,175,99,TPR鞋底,复古潮鞋,李宁休闲,1,1,841,2
4372,拉链鞋款,22,105,94,99,97,TPR鞋底,复古潮鞋,耐克潮流,0,0,780,1
3073,拉链鞋款,49,263,59,155,100,橡胶大底,简约百搭,阿迪达斯,0,0,1061,1
743,魔术贴鞋,46,130,76,99,99,橡胶大底,简约百搭,其他品牌,1,0,1208,1
1530,魔术贴鞋,57,279,62,173,93,橡胶大底,工装硬朗,李宁休闲,1,0,586,1
476,系带设计,40,184,64,118,90,混合鞋底,日常休闲,特步男鞋,0,0,620,1
793,系带设计,56,318,72,229,91,MD发泡底,日常休闲,阿迪达斯,1,0,28,1
606,套脚款式,45,99,100,99,93,PU中底,户外机能,其他品牌,1,1,692,2
396,魔术贴鞋,54,338,58,196,92,TPR鞋底,复古潮鞋,耐克潮流,0,1,1405,2
2476,套脚款式,47,130,81,105,92,TPR鞋底,简约百搭,回力经典,0,1,710,2
437,系带设计,46,115,86,99,91,PU中底,复古潮鞋,安踏运动,0,0,1265,1
1466,系带设计,47,102,97,99,92,混合鞋底,日常休闲,京东京造,1,0,23,1
2575,拉链鞋款,36,150,66,99,94,橡胶大底,简约百搭,京东京造,0,0,269,1
5085,魔术贴鞋,42,124,80,99,92,橡胶大底,简约百搭,阿迪达斯,0,1,934,2
1422,拉链鞋款,48,162,61,99,90,TPR鞋底,复古潮鞋,斯凯奇潮,1,1,312,2
6474,系带设计,53,217,83,180,99,混合鞋底,运动休闲,阿迪达斯,1,1,2135,2
532,套脚款式,39,690,52,359,90,TPR鞋底,简约百搭,鸿星尔克,1,1,97,3
2589,系带设计,57,324,74,240,100,EVA轻底,日常休闲,耐克潮流,0,1,40,2
113,系带设计,45,479,87,417,97,橡胶大底,运动休闲,阿迪达斯,1,1,38,3
489,拉链鞋款,51,361,74,267,97,PU中底,户外机能,阿迪达斯,1,0,1303,3
1311,系带设计,50,121,82,99,90,PU中底,简约百搭,回力经典,0,1,369,2
6059,拉链鞋款,44,123,83,102,93,混合鞋底,户外机能,安踏运动,0,1,906,2
737,松紧带鞋,22,100,99,99,92,PU中底,工装硬朗,鸿星尔克,1,1,6,2
11737,系带设计,52,343,74,254,98,EVA轻底,运动休闲,李宁休闲,0,0,1110,0
933,系带设计,46,128,96,123,94,TPR鞋底,简约百搭,特步男鞋,0,1,46,2
5866,系带设计,29,343,77,264,91,EVA轻底,简约百搭,阿迪达斯,0,1,2704,3
455,套脚款式,43,130,76,99,100,PU中底,户外机能,特步男鞋,1,1,26,2
199,套脚款式,50,106,93,99,97,PU中底,户外机能,李宁休闲,0,0,1393,1
313,魔术贴鞋,45,258,95,245,89,PU中底,工装硬朗,京东京造,0,0,259,1
2325,系带设计,50,221,52,115,95,TPR鞋底,日常休闲,京东京造,1,1,25,2
1866,松紧带鞋,54,397,86,341,92,橡胶大底,复古潮鞋,阿迪达斯,1,1,775,3
959,拉链鞋款,39,102,97,99,100,混合鞋底,复古潮鞋,其他品牌,1,1,8,2
